year,county,agency_name,agency_code,violent_crimes,property_crimes,violent_clearance_rate,property_clearance_rate,arrests_total,arrests_felony,arrests_misdemeanor,arrests_status_offense,dic_total_deaths,dic_arrest_related,dic_city_county_jails,leoka_total_deaths,leoka_felony_deaths,leoka_accidental_deaths,leoka_total_assaults,leoka_injury_assaults,leoka_no_injury_assaults,calls_for_service,contracting_agencies,population_served,hispanic_population,white_population,black_population,native_american_population,asian_pacific_islander_population,other_population,hispanic_proportion,white_proportion,black_proportion,native_american_proportion,asian_pacific_islander_proportion,other_proportion,arrests_total_rate_per_100000,arrests_felony_rate_per_100000,arrests_misdemeanor_rate_per_100000,arrests_status_offense_rate_per_100000,violent_crimes_rate_per_100000,property_crimes_rate_per_100000,dic_total_deaths_rate_per_100000,dic_arrest_related_rate_per_100000,dic_city_county_jails_rate_per_100000,leoka_total_deaths_rate_per_100000,leoka_felony_deaths_rate_per_100000,leoka_accidental_deaths_rate_per_100000,leoka_total_assaults_rate_per_100000,leoka_injury_assaults_rate_per_100000,leoka_no_injury_assaults_rate_per_100000
2005,Alameda,UC Berkeley Police Department,197,25,864,24,2.54,410,68,342,0,,,,0,0,0,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alameda,Alameda E. Bay Reg. Park Dist.,114,15,138,20,4.34,226,121,105,0,,,,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alameda,UC Lawrence-Livermore Police Department,122,0,3,0,0,128,1,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alameda,CSU East Bay Police Department,115,4,151,0,1.98,76,11,61,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alameda,Union Pacific RR - Alameda Police Department,116,11,349,9.09,1.14,60,8,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alameda,Piedmont Police Department,110,11,306,0,0.98,42,9,33,0,0,0,0,,,,,,,,,10690,396,7772,139,0,1946,438,0.03,0.72,0.01,0,0.18,0.04,392.8905519,84.19083255,308.6997194,0,102.8999065,2862.488307,0,0,0,,,,,,
2005,Alameda,Alameda E. Bay Mun. Util. Dist. Police Department,131,0,34,0,5.88,31,20,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alpine,All Combined,All Combined,7,97,14.28,6.18,132,36,96,0,0,0,0,0,0,0,0,0,0,,,1237,28,877,0,259,31,41,0.02,0.7,0,0.2,0.02,0.03,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2005,Alpine,Alpine County Sheriff's Department,200,7,97,14.28,6.18,94,27,67,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alpine,CA Highway Patrol - Alpine,299,0,0,0,0,38,9,29,0,0,0,0,,,,,,,,,1237,28,877,0,259,31,41,0.02,0.7,0,0.2,0.02,0.03,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2005,Amador,All Combined,All Combined,140,1011,47.14,20.17,2005,795,1210,0,0,0,0,0,0,0,1,1,0,,,37434,3968,30172,824,636,487,1385,0.1,0.8,0.02,0.01,0.01,0.03,5356.093391,2123.737778,3232.355613,0,373.9915585,2700.753326,0,0,0,0,0,0,2.671368275,2.671368275,0
2005,Amador,Amador County Sheriff's Department,300,66,553,56.06,22.06,1014,547,467,0,0,0,0,,,,,,,,Plymouth;Amador,22747,59,1145,0,25,15,15,0,0.05,0,0,0,0,4457.73069,2404.712709,2053.01798,0,290.1481514,2431.089814,0,0,0,,,,,,
2005,Amador,Jackson Police Department,303,41,202,36.58,9.9,389,110,279,0,0,0,0,,,,,,,,,4408,406,3809,0,79,71,48,0.09,0.86,0,0.01,0.01,0.01,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2005,Amador,CA Highway Patrol - Amador,399,2,41,0,0,295,32,263,0,0,0,0,0,0,0,1,1,0,,,37434,3968,30172,824,636,487,1385,0.1,0.8,0.02,0.01,0.01,0.03,788.0536411,85.48378479,702.5698563,0,5.34273655,109.5260993,0,0,0,0,0,0,2.671368275,2.671368275,0
2005,Amador,Ione Police Department,302,19,122,42.1,24.59,167,86,81,0,0,0,0,,,,,,,,,7643,1888,4532,711,191,99,222,0.24,0.59,0.09,0.02,0.01,0.02,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2005,Amador,Sutter Creek Police Department,305,12,93,50,34.4,140,20,120,0,0,0,0,,,,,,,,,2636,58,2341,0,24,108,108,0.02,0.88,0,0,0.04,0.04,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2005,Amador,Union Pacific RR - Amador Police Department,306,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Butte,All Combined,All Combined,752,7335,40.95,12.81,10149,2380,7758,11,0,0,0,0,0,0,31,5,26,,,212955,27258,163762,3194,1917,8944,7879,0.12,0.76,0.01,0,0.04,0.03,4765.795591,1117.607006,3643.023174,5.165410533,353.1262473,3444.38966,0,0,0,0,0,0,14.55706605,2.347913879,12.20915217
2005,Butte,Chico Police Department,402,253,2671,31.22,19.46,4120,897,3218,5,0,0,0,0,0,0,14,1,13,72547,,72459,9492,54996,1159,580,3116,3116,0.13,0.75,0.01,0,0.04,0.04,5685.974137,1237.941457,4441.132227,6.90045405,349.1629749,3686.222553,0,0,0,0,0,0,19.32127134,1.38009081,17.94118053
2005,Butte,Oroville Police Department,404,164,935,56.09,24.59,2229,589,1640,0,0,0,0,0,0,0,9,2,7,,,13762,1362,9812,550,138,1362,550,0.09,0.71,0.03,0.01,0.09,0.03,16196.77372,4279.901177,11916.87255,0,1191.687255,6794.070629,0,0,0,0,0,0,65.3974713,14.5327714,50.8646999
2005,Butte,Butte County Sheriff's Department,400,235,1711,37.87,4.96,1308,419,887,2,0,0,0,0,0,0,8,2,6,,,92823,9458,72169,2208,1462,4822,2714,0.1,0.77,0.02,0.01,0.05,0.02,1409.133512,451.3967443,955.5821294,2.154638398,253.1700117,1843.293149,0,0,0,0,0,0,8.618553591,2.154638398,6.463915193
2005,Butte,Paradise Police Department,405,33,796,51.51,8.54,903,238,661,4,0,0,0,,,,,,,17296,,26403,1716,23076,79,79,396,1109,0.06,0.87,0,0,0.01,0.04,3420.065902,901.4127183,2503.50339,15.14979358,124.9857971,3014.808923,0,0,0,,,,,,
2005,Butte,CA Highway Patrol - Butte,499,2,561,0,0,734,130,604,0,0,0,0,,,,,,,,,212955,27258,163762,3194,1917,8944,7879,0.12,0.76,0.01,0,0.04,0.03,344.6737574,61.04576084,283.6279965,0,0.939165551,263.4359372,0,0,0,,,,,,
2005,Butte,CSU Chico Police Department,497,21,339,14.28,1.76,402,21,381,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Butte,Gridley Police Department,403,42,296,66.66,10.47,348,69,279,0,,,,,,,,,,,Biggs,7508,3489,3477,0,86,159,297,0.46,0.46,0,0.01,0.02,0.03,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2005,Butte,Northern Buttes DPR,407,0,18,0,0,103,17,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Butte,Union Pacific RR - Butte Police Department,406,2,8,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Butte,Gridley-Biggs Police Department,403,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Calaveras,All Combined,All Combined,153,925,55.55,9.94,2067,535,1529,3,0,0,0,0,0,0,8,1,7,,,44348,4346,37075,621,843,621,798,0.09,0.83,0.01,0.01,0.01,0.01,4660.864075,1206.367818,3447.731578,6.764679354,344.9986471,2085.776134,0,0,0,0,0,0,18.03914494,2.254893118,15.78425183
2005,Calaveras,Calaveras County Sheriff's Department,500,132,715,50.75,6.85,1122,377,742,3,0,0,0,0,0,0,8,1,7,,,40699,3255,35231,624,632,439,536,0.07,0.86,0.01,0.01,0.01,0.01,2756.824492,926.3126858,1823.140618,7.371188481,324.3322932,1756.799921,0,0,0,0,0,0,19.65650262,2.457062827,17.19943979
2005,Calaveras,Angels Camp Police Department,501,21,55,85.71,76.36,489,100,389,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Calaveras,CA Highway Patrol - Calaveras,599,0,146,0,0,318,47,271,0,0,0,0,,,,,,,,,44348,4346,37075,621,843,621,798,0.09,0.83,0.01,0.01,0.01,0.01,717.0560115,105.9799765,611.076035,0,0,329.2143952,0,0,0,,,,,,
2005,Calaveras,Calaveras DPR,503,0,9,0,11.11,138,11,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Calaveras,Union Pacific RR - Calaveras Police Department,502,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Colusa,All Combined,All Combined,51,568,56.86,14.08,1258,411,833,14,0,0,0,0,0,0,5,3,2,,,20374,10350,8802,224,224,224,570,0.5,0.43,0.01,0.01,0.01,0.02,6174.536174,2017.276922,4088.544223,68.71502896,250.3190341,2787.866889,0,0,0,0,0,0,24.54108177,14.72464906,9.816432708
2005,Colusa,Colusa County Sheriff's Department,600,29,285,68.96,8.77,542,217,325,0,0,0,0,0,0,0,2,2,0,,,10159,6390,3129,0,0,91,549,0.62,0.3,0,0,0,0.05,5335.170785,2136.037012,3199.133773,0,285.4611674,2805.394232,0,0,0,0,0,0,19.68697706,19.68697706,0
2005,Colusa,CA Highway Patrol - Colusa,699,0,29,0,24.13,323,85,238,0,0,0,0,,,,,,,,,20374,10350,8802,224,224,224,570,0.5,0.43,0.01,0.01,0.01,0.02,1585.353882,417.1983901,1168.155492,0,0,142.3382743,0,0,0,,,,,,
2005,Colusa,Colusa Police Department,601,7,183,57.14,20.76,225,69,155,1,0,0,0,0,0,0,1,0,1,,,5557,2362,2801,11,22,72,289,0.42,0.5,0,0,0.01,0.05,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2005,Colusa,Williams Police Department,602,15,71,33.33,14.08,168,40,115,13,0,0,0,0,0,0,2,1,1,,,4658,3428,987,154,14,23,47,0.73,0.21,0.03,0,0,0.01,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2005,Colusa,Union Pacific RR - Colusa Police Department,603,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Contra Costa,All Combined,All Combined,4513,39147,35.78,10.57,29494,12667,16729,98,5,0,5,1,1,0,184,73,111,,,1001216,223271,512623,90109,3004,137167,35043,0.22,0.51,0.08,0,0.13,0.03,2945.817885,1265.161564,1670.868224,9.788097673,450.7518857,3909.945506,0.499392738,0,0.499392738,0.099878548,0.099878548,0,18.37765277,7.291133981,11.08651879
2005,Contra Costa,Contra Costa County Sheriff's Department,700,856,6766,36.33,4.99,7731,3265,4388,78,5,0,5,0,0,0,67,38,29,,Lafayette;Danville;Oakley;San Ramon;Orinda,320424,50788,199141,13903,751,44437,11360,0.15,0.62,0.04,0,0.13,0.03,2412.740619,1018.962375,1369.435498,24.34274586,267.1460315,2111.57716,1.560432427,0,1.560432427,0,0,0,20.90979452,11.85928645,9.050508077
2005,Contra Costa,Antioch Police Department,701,553,2920,42.13,14.24,3539,1618,1918,3,0,0,0,0,0,0,26,3,23,,,99713,29914,39486,17051,698,9473,3191,0.3,0.39,0.17,0,0.09,0.03,3549.186164,1622.657026,1923.520504,3.008634782,554.5916781,2928.404521,0,0,0,0,0,0,26.07483478,3.008634782,23.06619999
2005,Contra Costa,Concord Police Department,704,508,6248,65.15,21.99,3442,1448,1992,2,0,0,0,0,0,0,15,0,15,,,122373,33163,67305,3304,489,13706,4405,0.27,0.54,0.02,0,0.11,0.03,2812.711954,1183.267551,1627.810056,1.634347446,415.1242513,5105.701421,0,0,0,0,0,0,12.25760584,0,12.25760584
2005,Contra Costa,Richmond Police Department,710,1174,5808,15.07,6.52,2890,1856,1032,2,0,0,0,0,0,0,12,10,2,,,101098,35384,19108,28206,101,15468,2730,0.34,0.18,0.27,0,0.15,0.02,2858.612435,1835.84245,1020.791707,1.978278502,1161.249481,5744.92077,0,0,0,0,0,0,11.86967101,9.89139251,1.978278502
2005,Contra Costa,Pittsburg Police Department,708,248,2604,39.11,10.44,1892,880,1012,0,0,0,0,1,1,0,35,12,23,,,61120,24020,13019,10696,244,10146,2934,0.39,0.21,0.17,0,0.16,0.04,3095.549738,1439.790576,1655.759162,0,405.7591623,4260.471204,0,0,0,1.636125654,1.636125654,0,57.26439791,19.63350785,37.63089005
2005,Contra Costa,Walnut Creek Police Department,712,130,2919,59.23,9.45,1460,384,1075,1,0,0,0,0,0,0,0,0,0,,,64705,4723,49952,1035,194,7506,1294,0.07,0.77,0.01,0,0.11,0.01,2256.394405,593.4626381,1661.386292,1.54547562,200.9118306,4511.243335,0,0,0,0,0,0,0,0,0
2005,Contra Costa,San Pablo Police Department,711,269,1831,28.62,10.64,1449,796,652,1,0,0,0,0,0,0,3,0,3,,,29632,16149,3674,4119,207,4919,563,0.54,0.12,0.13,0,0.16,0.01,4889.983801,2686.285097,2200.323974,3.374730022,907.8023758,6179.13067,0,0,0,0,0,0,10.12419006,0,10.12419006
2005,Contra Costa,Martinez Police Department,714,115,1424,30.43,4.63,1336,471,864,1,0,0,0,,,,,,,,,36061,4940,26108,1118,108,2560,1262,0.13,0.72,0.03,0,0.07,0.03,3704.833477,1306.120185,2395.940212,2.77307895,318.9040792,3948.864424,0,0,0,,,,,,
